"filename", "language", "JavaScript", "Log", "Batch", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\gameserver.js", "JavaScript", 14, 0, 0, 0, 0, 0, 1, 8, 23
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\globals.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\local_server.bat", "Batch", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\mapLoader.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 22, 119
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\maps\maps.js", "JavaScript", 305, 0, 0, 0, 0, 0, 10, 9, 324
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\objects\Ball.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 18, 57
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\objects\Destination.js", "JavaScript", 19, 0, 0, 0, 0, 0, 1, 7, 27
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\objects\Portal.js", "JavaScript", 115, 0, 0, 0, 0, 0, 1, 16, 132
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\objects\RoundWall.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 7, 20
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\objects\Unreachable.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 5, 16
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\objects\Wall.js", "JavaScript", 17, 0, 0, 0, 0, 0, 8, 7, 32
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\package-lock.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\vxkmfl\OneDrive - Kormányzati Informatikai Fejlesztési Ügynökség\Oktatás\Szakdolgozat\src\server\server.js", "JavaScript", 236, 0, 0, 0, 0, 0, 5, 22, 263
"Total", "-", 1910, 1, 3, 24, 19, 60, 130, 374, 2521
